title,r_psp_MMGBSA_dG_Bind,frame
"Ligand_B",-42.15,1
"Ligand_B",-41.89,2
"Ligand_B",-42.56,3
"Ligand_B",-42.23,4
"Ligand_B",-41.95,5
"Ligand_B",-42.67,6
"Ligand_B",-41.78,7
"Ligand_B",-42.45,8
"Ligand_B",-42.12,9
"Ligand_B",-41.99,10
"Ligand_B",-42.34,11
"Ligand_B",-41.87,12
"Ligand_B",-42.56,13
"Ligand_B",-42.01,14
"Ligand_B",-41.95,15
"Ligand_B",-42.45,16
"Ligand_B",-42.12,17
"Ligand_B",-41.78,18
"Ligand_B",-42.67,19
"Ligand_B",-42.23,20
"Ligand_B",-42.34,981
"Ligand_B",-41.87,982
"Ligand_B",-42.56,983
"Ligand_B",-42.01,984
"Ligand_B",-41.95,985
"Ligand_B",-42.45,986
"Ligand_B",-42.12,987
"Ligand_B",-41.78,988
"Ligand_B",-42.67,989
"Ligand_B",-42.23,990
"Ligand_B",-42.34,991
"Ligand_B",-41.87,992
"Ligand_B",-42.56,993
"Ligand_B",-42.01,994
"Ligand_B",-41.95,995
"Ligand_B",-42.45,996
"Ligand_B",-42.12,997
"Ligand_B",-41.78,998
"Ligand_B",-42.67,999
"Ligand_B",-42.23,1000 
