title,r_psp_MMGBSA_dG_Bind
LIG2,-114.107946114354
LIG2,-113.909555689199
LIG2,-107.211732408334
LIG2,-110.94281092141
LIG2,-108.55908198812
LIG2,-109.747364908753
LIG2,-109.03488148082
LIG2,-105.511811592065
LIG2,-93.279926809184
LIG2,-106.718457292573
LIG2,-101.729636608679
LIG2,-113.201658328255
LIG2,-107.124699913795
LIG2,-109.664551436794
LIG2,-105.516867522236
LIG2,-102.929742566068
LIG2,-99.3573191340602
LIG2,-106.706836215057
LIG2,-107.245032170738
LIG2,-100.131732955293
LIG2,-101.519524432742
LIG2,-103.202573165192
LIG2,-99.3465315145622
LIG2,-102.799061356369
LIG2,-100.799091052713
LIG2,-105.166553272082
LIG2,-99.5290404595307
LIG2,-103.821009693746
LIG2,-102.865001450698
LIG2,-106.445713398463
LIG2,-98.9731009831848
LIG2,-96.1342692688231
LIG2,-94.5546646189559
LIG2,-100.926249645698
LIG2,-100.11186061584
LIG2,-99.7933994632622
LIG2,-95.6055811790338
LIG2,-98.8122986679336
LIG2,-98.6544352661476
LIG2,-102.39687917377
LIG2,-106.890337196617
LIG2,-101.051190098031
LIG2,-109.390680807428
LIG2,-106.214809677371
LIG2,-99.800735455814
LIG2,-97.1340110940127
LIG2,-95.2059536155448
LIG2,-87.6841969354573
LIG2,-84.5098272183204
LIG2,-93.1347232958633
LIG2,-98.6392051095736
LIG2,-101.836459827922
LIG2,-90.2349959748099
LIG2,-99.8561332774334
LIG2,-96.7165498961058
LIG2,-90.6993049764333
LIG2,-100.520961748289
LIG2,-102.538312530693
LIG2,-91.3577599542095
LIG2,-102.266204102934
LIG2,-94.1370706320595
LIG2,-95.2733192148589
LIG2,-86.1683111712318
LIG2,-97.9054563597565
LIG2,-102.427352957162
LIG2,-105.440235820093
LIG2,-106.287800516584
LIG2,-110.453295950796
LIG2,-106.037670105077
LIG2,-114.217496683028
LIG2,-99.6990928466075
LIG2,-103.834141790632
LIG2,-103.84114498575
LIG2,-98.9111224749522
LIG2,-103.178769553335
LIG2,-94.9105241548805
LIG2,-98.9797741842358
LIG2,-114.882028731199
LIG2,-107.607499606695
LIG2,-95.4417874767514
LIG2,-111.87363959142
LIG2,-100.426219869494
LIG2,-114.145517780462
LIG2,-96.6598483187481
LIG2,-112.352160446944
LIG2,-106.378226694316
LIG2,-100.911882418031
LIG2,-104.297365869021
LIG2,-100.368453366129
LIG2,-99.7561849899867
LIG2,-111.468570004312
LIG2,-112.329564619497
LIG2,-108.067532731036
LIG2,-104.133385272444
LIG2,-106.516596473377
LIG2,-102.369536321776
LIG2,-107.20594727418
LIG2,-95.8816800258573
LIG2,-93.99008709388
LIG2,-100.157132235227
LIG2,-95.3418484721042
LIG2,-102.260723851095
LIG2,-105.144736891682
LIG2,-96.1546219212378
LIG2,-101.847345809811
LIG2,-109.980131953433
LIG2,-93.683543621908
LIG2,-104.376131927786
LIG2,-109.968729025757
LIG2,-99.7708293423639
LIG2,-101.498079041145
LIG2,-87.2039298270793
LIG2,-96.149760311102
LIG2,-98.3523667436821
LIG2,-95.3726822260014
LIG2,-98.4890057532448
LIG2,-91.125146542714
LIG2,-85.3907357387488
LIG2,-84.8254736318468
LIG2,-89.9531613984273
LIG2,-85.6881410639508
LIG2,-81.089903198641
